label,x,y,muestra,iluminancia_lux,luminancia_cd_m2,iluminancia_prom_lux,luminancia_prom_cd_m2
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,1,37.3248,79.1864,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,2,61.4592,130.3887,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,3,61.7472,130.9997,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,4,61.8048,131.1219,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,5,61.3440,130.1443,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,6,60.7104,128.8001,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,7,60.5376,128.4335,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,8,59.8464,126.9671,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,9,57.8304,122.6901,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,10,55.4688,117.6798,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,11,53.4528,113.4028,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,12,52.5312,111.4475,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,13,51.6672,109.6145,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,14,51.2064,108.6369,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,15,50.7456,107.6593,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,16,50.5728,107.2927,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,17,50.4000,106.9261,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,18,49.9392,105.9485,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,19,50.1120,106.3151,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,20,51.0912,108.3925,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,21,51.0912,108.3925,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,22,51.0912,108.3925,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,23,50.7456,107.6593,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,24,50.2272,106.5595,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,25,49.7664,105.5819,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,26,49.9392,105.9485,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,27,50.2272,106.5595,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,28,50.0544,106.1929,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,29,49.6512,105.3375,53.5998,113.7146
"(7.3,3.8)",7.2689641109298435,3.7850956547530785,30,49.1328,104.2377,53.5998,113.7146
