brightness_%,veml_lux,luxmeter_lux,ratio,residual_after_1pt_cal_%
10,0.9238,0.6,1.5396666666666667,0.8403361344537785
20,1.3626049999999998,0.9,1.5140055555555554,-0.8403361344537909
30,2.0325016666666667,1.35,1.5055567901234568,-1.3936873010010855
40,2.9284457627118643,2.0,1.4642228813559321,-4.100848106717492
50,4.5201633333333335,3.0,1.5067211111111112,-1.317430197885594
60,6.484866666666666,4.35,1.4907739463601533,-2.3618883839939158
70,9.968868333333335,6.4,1.5576356770833335,2.0172149288379684
80,13.98712,9.05,1.5455381215469612,1.2248865677037475
90,23.73114,15.2,1.5612592105263159,2.2545379405622255
100,35.82559310344828,22.1,1.6210675612420034,6.171680735420777
