,Luminance [cd/m^2],Illuminance [lux]
sensitivity_per_%,3.4837833253509953,0.29577320432229953
R2_linear,0.7578708874956047,0.7578708874956046
non_linearity_%FS,33.20798216732475,33.20798216732476
repeatability_%CV,7.296674860618519,7.296674860618523
u_A,0.4130823880446663,0.035070694744992185
u_B,1.5668021439492317,0.1330215020212898
u_combined,1.6203413274975718,0.13756697870454387
U95_k2,3.2406826549951435,0.27513395740908775
effective_resolution,5.955421397314398,0.5056152766319923
hysteresis_max_%FS,3.2630845954851586,3.2630845954851586
hysteresis_mean_%FS,1.266011064648542,1.266011064648542
